recrd,vesslterms,feature_type,chart,latitude,longitude,gp_quality,depth,sounding_type,yearsunk,history,quasou,watlev
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17326",56.7980577,-135.1858955,,38.4,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17327",57.0446881,-135.3499846,,7,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17327",57.0593072,-135.3661243,,11.5,,,,value reported (not confirmed),always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17327",57.0556869,-135.3515111,,7.3,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17327",57.0497584,-135.3433891,,,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17327",57.0488902,-135.3450363,,,,,,,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17327",57.0113958,-135.2897705,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17327",57.0560695,-135.3608413,,-0.9,,,,least depth known,covers and uncovers
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17327",57.056154,-135.3582541,,7.3,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,reprt,17thCGD,LNM 24/07",57.0411111,-135.29,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17327",57.0314257,-135.3214586,,19.2,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,17th CGD LNM 49/13",57.0568505,-135.3548324,,,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,reprt,17th CGD LNM 30/14",57.05565,-135.3524333,,,,,,,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17372",56.6782874,-133.7504247,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17375",56.6341937,-132.9300705,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11448",56.6773215,-132.9360379,,2.9,,,,,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17375",56.8135576,-132.9936607,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17375",56.8187994,-132.9694714,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17375",56.8176672,-132.9716719,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,H-11447",56.7722955,-132.9674019,,4.7,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17375",56.8228284,-132.9645069,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17375",56.8227321,-132.9632144,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17375",56.8207622,-132.9612657,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,H-11048",56.4086308,-132.4028953,,14.8,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17384",56.4620665,-132.3795963,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17368",56.9487942,-133.9007091,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17368",56.948805,-133.8962946,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17368",56.9350326,-133.8819285,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17368",57.1026531,-134.0421055,,,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17326",57.0085283,-135.2367235,,19.2,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,HS-11122 (NWID: 18415), OPR-O112-RA-05,RA-10-09-05, x-ref: DD-14474.",57.0109222,-135.2389725,,3.8,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17326",57.0163313,-135.244283,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17326",57.0029899,-135.2175638,,,,,,,always dry
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17326",56.9969239,-135.3377294,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17325",57.0030747,-135.7492657,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,reprt,17th GCD 45/09",56.9885111,-135.7041722,,,,,,,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17339",57.3925875,-134.3664665,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17339",57.4917202,-134.5582284,,,,,,,always dry
,,Wrecks - Visible,,57.5184675,-134.5269882,,,,,,,covers and uncovers
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17422",55.9146804,-131.7878125,,,,,,depth unknown,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17430",55.3321151,-131.6313764,,25.6,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 17430",55.3372119,-131.6389388,,,,,,depth unknown,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17430",55.337447,-131.6814564,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17430",55.3506188,-131.6982439,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17430",55.3457378,-131.672343,,3.6,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17430",55.3888774,-131.738092,,3.8,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17430",55.3893119,-131.7375632,,17,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17430",55.4061732,-131.7198177,,,,,,,partly submerged at high water
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17430",55.4053545,-131.7217744,,12.9,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17430",55.3995307,-131.7251594,,20.1,,,,,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17428",55.4053521,-131.7218462,,12.9,,,,least depth known,always under water/submerged
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17428",55.388965,-131.738386,,3.8,,,,least depth known,always under water/submerged
,,Wrecks - Visible,"US,US,graph,Chart 17428",55.4189032,-131.7662798,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17428",55.4556381,-131.4781563,,,,,,,always dry
,,Wrecks - Visible,"US,US,graph,Chart 17428",55.4061383,-131.7197626,,,,,,,always dry
,,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17428",55.3995144,-131.7251474,,20.1,,,,least depth known,always under water/submerged
